finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
index,M031,302.383,113.968,365.97145733942284,113.63821414275544,0.009541304,2.5132667e-05,0.0062027136,0.004432113,0.010375441,0.018637279,0.33656996,0.933896,0.120660305,0.011380279,brown_exact,3.399636098455872e-12,3.399636098455872e-12,ray_hit,0.0,3.353882e-12,right_indexdip_roll_rubber_link,1431
index,M033,186.886,127.893,187.10316160041992,128.0288839861961,0.0019704686,0.0013145594,0.011501832,0.0071007498,0.002833451,0.023439111,0.8648235,0.029461166,0.50121087,0.011743209,brown_exact,0.0,0.0,ray_hit,0.0,1.4210855e-14,right_indexdip_roll_rubber_link,497
index,M034,159.826,128.0,159.8107076014275,128.0433942254088,-0.0004271854,0.0013118419,0.011466904,0.0071057337,0.00043570704,0.023411326,0.88657105,-0.035313036,0.46124268,0.011549601,brown_exact,2.026415160979645e-15,2.026415160979645e-15,ray_hit,0.0,0.0,right_indexdip_roll_rubber_link,848
index,M035,132.692,128.52,132.11596595040098,128.78078992489455,-0.0028047857,0.0013528264,0.01126874,0.0069688405,-0.0019435396,0.023291422,0.875972,-0.13838784,0.4620843,0.011691085,brown_exact,9.428049086571002e-13,9.428049086571002e-13,ray_hit,0.0,9.417841e-13,right_indexdip_roll_rubber_link,952
index,M036,212.563,128.651,214.36553254626543,129.20190513128566,0.0042899135,0.0013929548,0.011299371,0.0068816026,0.005150629,0.023341032,0.8173575,0.21723108,0.53360796,0.012166325,brown_exact,1.0889092300596603e-12,1.0889092300596603e-12,ray_hit,0.0,1.078528e-12,right_indexdip_roll_rubber_link,1628
index,M037,107.485,129.564,104.3624320460226,130.41065214418342,-0.0049779806,0.0014311776,0.0107983425,0.0066198567,-0.0041206973,0.022994127,0.8223706,-0.2914895,0.4886108,0.011976342,brown_exact,2.1791591487962947e-14,2.1791591487962947e-14,ray_hit,0.0,3.1776438e-14,right_indexdip_roll_rubber_link,915
index,M038,237.167,130.788,243.75847722404487,132.30804443977559,0.00644587,0.0015688093,0.010666968,0.006304259,0.0073003764,0.022988515,0.7194378,0.4670372,0.5140871,0.012561632,brown_exact,5.000940574640342e-12,5.000940574640342e-12,ray_hit,0.0,5.0094824e-12,right_indexdip_roll_rubber_link,1517
index,M039,82.513,132.032,72.44956658873717,134.2248631392158,-0.006931818,0.0015907185,0.009834094,0.005877826,-0.0060827998,0.022384003,0.6881136,-0.5456588,0.47828457,0.012136305,brown_exact,8.746705756051124e-14,8.746705756051124e-14,ray_hit,0.0,9.947598e-14,right_indexdip_roll_rubber_link,1281
index,M040,264.476,135.653,284.42453469739144,139.9401429755762,0.008380072,0.0018823054,0.009157977,0.005040774,0.009220823,0.022076394,0.50838405,0.78436255,0.35541677,0.012555366,brown_exact,1.2923399956480104e-11,1.2923399956480104e-11,ray_hit,0.0,1.296952e-11,right_indexdip_roll_rubber_link,1435
index,M041,52.877,137.663,22.386202210036913,144.024655479637,-0.008592945,0.0018713587,0.007901811,0.0043951417,-0.007760306,0.021135228,0.30279702,-0.89735675,0.32103702,0.011822829,brown_exact,9.674381628084695e-12,9.674381628084695e-12,ray_hit,0.0,9.6707165e-12,right_indexdip_roll_rubber_link,1057
index,M042,291.589,144.15,341.2942609540039,155.75042584286524,0.009526124,0.002305559,0.00705816,0.0033092098,0.010347932,0.020798458,0.24294937,0.94928396,0.19958858,0.012078091,brown_exact,1.1248290323312102e-11,1.1248290323312102e-11,ray_hit,0.0,1.1251587e-11,right_indexdip_roll_rubber_link,1459
index,M043,29.014,147.47,-36.51322717893467,163.27470885401692,-0.009297271,0.0023236896,0.00604669,0.00282593,-0.008481905,0.020058649,0.13879602,-0.9620157,0.2350775,0.011331427,brown_exact,1.3887996398054681e-11,1.3887996398054681e-11,ray_hit,0.0,1.3918026e-11,right_indexdip_roll_rubber_link,1307
