finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M038,237.167,130.788,243.75847722404487,132.30804443977559,0.0063724746,0.0015509463,0.01054551,0.0077102976,0.0072002136,0.052378245,0.77593803,0.41412953,0.47583288,0.012418601,brown_exact,5.000940574640342e-12,5.000940574640342e-12,ray_hit,0.0,5.0061756e-12,right_middip_roll_rubber_link,1625
middle,M039,82.513,132.032,72.44956658873717,134.2248631392158,-0.007014571,0.0016097088,0.009951496,0.007316186,-0.006188323,0.0519769,0.63853383,-0.58766824,0.49691102,0.012281191,brown_exact,8.746705756051124e-14,8.746705756051124e-14,ray_hit,0.0,1.2789769e-13,right_middip_roll_rubber_link,1282
middle,M040,264.476,135.653,284.42453469739223,139.94014297557638,0.008277642,0.0018592976,0.009046038,0.0064694234,0.009100967,0.051472414,0.47875503,0.7811481,0.4007509,0.0124019,brown_exact,1.2494127403151949e-11,1.2494127403151949e-11,ray_hit,0.0,1.2451986e-11,right_middip_roll_rubber_link,1436
middle,M041,52.877,137.663,22.386202210036913,144.024655479637,-0.008685653,0.0018915487,0.007987063,0.00579601,-0.007864836,0.050708313,0.33769837,-0.8975556,0.2834674,0.011950385,brown_exact,9.674381628084695e-12,9.674381628084695e-12,ray_hit,0.0,9.6707165e-12,right_middip_roll_rubber_link,1057
middle,M042,291.589,144.15,341.29426095400527,155.75042584286578,0.009385637,0.0022715577,0.0069540692,0.0047570667,0.010202864,0.05019664,0.288529,0.93007153,0.22741577,0.011899968,brown_exact,1.0671604988457353e-11,1.0671604988457353e-11,ray_hit,0.0,1.067885e-11,right_middip_roll_rubber_link,1458
middle,M043,29.014,147.47,-36.51322717893464,163.27470885401684,-0.009401892,0.0023498377,0.0061147325,0.004203259,-0.008586759,0.04962636,0.1759943,-0.9648428,0.19520344,0.011458938,brown_exact,1.3924129939912461e-11,1.3924129939912461e-11,ray_hit,0.0,1.397012e-11,right_middip_roll_rubber_link,1307
middle,M044,184.192,151.951,184.71624851638038,152.97195913783412,0.0018485477,0.0036875992,0.012075951,0.007167173,0.002674321,0.05494627,0.7727263,0.068838075,0.6309956,0.012761039,brown_exact,2.2040602868512912e-14,2.2040602868512912e-14,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1634
middle,M045,159.986,152.091,159.8834609831431,152.91383813362313,-0.0004448545,0.0036962966,0.012122107,0.0071998425,0.00038102074,0.054986347,0.7719475,-0.024578633,0.63521093,0.01268093,brown_exact,7.246433953445041e-15,7.246433953445041e-15,ray_hit,0.0,0.0,right_middip_roll_rubber_link,841
middle,M046,136.136,152.394,135.15386085899164,153.71140077738738,-0.0026929043,0.0037112925,0.011932202,0.007069413,-0.0018675085,0.054855496,0.7468696,-0.15151326,0.6474793,0.012782913,brown_exact,4.4262011570248025e-14,4.4262011570248025e-14,ray_hit,0.0,6.3552875e-14,right_middip_roll_rubber_link,828
middle,M047,207.29,152.573,209.45424735289816,154.53162756489067,0.0040267636,0.0037347318,0.011769793,0.0069191772,0.0048516663,0.05475071,0.7487763,0.19745451,0.6327288,0.012988113,brown_exact,4.870411772825586e-14,4.870411772825586e-14,ray_hit,0.0,4.0194366e-14,right_middip_roll_rubber_link,1511
